Unix Timestamp,Year,Month,Day,Hour,Minute,Second,Distance (cm),Latitude,Longitude,Confidence
1701742458246,2023,12,4,16,14,18,350,19.7283435,-155.9893295,38
1701742564886,2023,12,4,16,16,4,476,19.7283384,-155.98933,47
1701742565685,2023,12,4,16,16,5,522,19.7283384,-155.9893307,9
1701742566711,2023,12,4,16,16,6,539,19.7283386,-155.9893315,29
1701742567630,2023,12,4,16,16,7,601,19.7283386,-155.9893321,18
1701742568554,2023,12,4,16,16,8,756,19.7283389,-155.9893326,10
1701742569473,2023,12,4,16,16,9,719,19.7283392,-155.9893328,1
1701742570245,2023,12,4,16,16,10,853,19.7283395,-155.989333,11
1701742702007,2023,12,4,16,18,22,633,19.7283425,-155.9893142,13
1701742702682,2023,12,4,16,18,22,713,19.7283425,-155.9893146,24
1701742703367,2023,12,4,16,18,23,788,19.7283425,-155.9893148,10
1701742703969,2023,12,4,16,18,23,861,19.7283425,-155.989315,18
1701742704950,2023,12,4,16,18,24,938,19.7283426,-155.9893153,17
1701742705770,2023,12,4,16,18,25,908,19.7283427,-155.9893157,1
1701742706693,2023,12,4,16,18,26,922,19.7283427,-155.9893162,13
1701742707547,2023,12,4,16,18,27,664,19.7283428,-155.9893163,1
1701742708700,2023,12,4,16,18,28,574,19.728343,-155.9893164,1
1701742709660,2023,12,4,16,18,29,605,19.7283432,-155.9893166,1
1701742710378,2023,12,4,16,18,30,549,19.7283433,-155.989317,1
1701742711196,2023,12,4,16,18,31,585,19.7283431,-155.9893177,13
1701742712109,2023,12,4,16,18,32,643,19.7283427,-155.9893189,69
1701742712915,2023,12,4,16,18,32,794,19.7283425,-155.9893198,1
1701742713756,2023,12,4,16,18,33,844,19.7283424,-155.9893203,22
1701742714678,2023,12,4,16,18,34,899,19.7283424,-155.9893207,11
1701742715598,2023,12,4,16,18,35,1040,19.7283424,-155.9893214,36
1701742716624,2023,12,4,16,18,36,928,19.7283423,-155.9893223,1
1701742717443,2023,12,4,16,18,37,919,19.7283423,-155.989323,1
1701742718263,2023,12,4,16,18,38,969,19.7283425,-155.9893238,12
1701742719184,2023,12,4,16,18,39,1090,19.7283425,-155.9893244,14
1701742720207,2023,12,4,16,18,40,285,19.7283425,-155.9893254,1
1701742721028,2023,12,4,16,18,41,350,19.7283425,-155.9893265,21
1701742721947,2023,12,4,16,18,41,441,19.7283425,-155.9893274,50
1701742722684,2023,12,4,16,18,42,540,19.7283423,-155.9893279,14
1701742723700,2023,12,4,16,18,43,569,19.7283421,-155.9893286,8
1701742724612,2023,12,4,16,18,44,527,19.7283419,-155.9893293,1
1701742725532,2023,12,4,16,18,45,502,19.7283417,-155.9893304,1
1701742726427,2023,12,4,16,18,46,578,19.7283416,-155.9893314,1
1701742727070,2023,12,4,16,18,47,630,19.7283416,-155.9893319,1
1701742727986,2023,12,4,16,18,47,633,19.7283412,-155.9893325,12
1701742728885,2023,12,4,16,18,48,663,19.7283409,-155.9893333,1
1701742729834,2023,12,4,16,18,49,686,19.7283409,-155.9893338,1
1701742730613,2023,12,4,16,18,50,819,19.7283409,-155.9893346,11
1701742731359,2023,12,4,16,18,51,624,19.7283408,-155.9893349,1
1701742732093,2023,12,4,16,18,52,583,19.7283408,-155.9893353,1
1701742733032,2023,12,4,16,18,53,692,19.7283408,-155.9893358,34
1701742733828,2023,12,4,16,18,53,702,19.7283406,-155.989336,23
1701742734850,2023,12,4,16,18,54,744,19.7283404,-155.9893365,1
1701742735619,2023,12,4,16,18,55,747,19.7283402,-155.9893371,55
1701742736474,2023,12,4,16,18,56,946,19.7283402,-155.9893373,23
1701742737205,2023,12,4,16,18,57,1083,19.7283402,-155.9893376,19
1701742738031,2023,12,4,16,18,58,1263,19.7283401,-155.9893375,22
1701742738950,2023,12,4,16,18,58,858,19.7283398,-155.9893378,1
1701742739773,2023,12,4,16,18,59,885,19.7283397,-155.9893382,1
1701742740689,2023,12,4,16,19,0,501,19.7283397,-155.9893385,1
1701742741713,2023,12,4,16,19,1,541,19.7283399,-155.9893383,1
1701742742411,2023,12,4,16,19,2,659,19.7283399,-155.9893381,47
1701742743045,2023,12,4,16,19,3,643,19.7283399,-155.989338,11
1701742743735,2023,12,4,16,19,3,727,19.7283399,-155.9893378,22
1701742744419,2023,12,4,16,19,4,764,19.7283399,-155.9893375,10
1701742745108,2023,12,4,16,19,5,788,19.7283398,-155.9893371,10
1701742745878,2023,12,4,16,19,5,927,19.7283398,-155.9893367,1
1701742746469,2023,12,4,16,19,6,998,19.7283398,-155.9893362,1
1701742747036,2023,12,4,16,19,7,896,19.7283398,-155.9893359,1
1701742747590,2023,12,4,16,19,7,866,19.7283399,-155.9893357,1
1701742748428,2023,12,4,16,19,8,668,19.7283399,-155.9893354,1
1701742749290,2023,12,4,16,19,9,739,19.72834,-155.989335,1
1701742750174,2023,12,4,16,19,10,679,19.7283401,-155.9893347,11
1701742750927,2023,12,4,16,19,10,793,19.7283401,-155.9893348,30
1701742751850,2023,12,4,16,19,11,756,19.7283402,-155.9893349,1
1701742752670,2023,12,4,16,19,12,676,19.7283404,-155.9893353,13
1701742753591,2023,12,4,16,19,13,808,19.7283409,-155.9893356,37
1701742754626,2023,12,4,16,19,14,844,19.7283413,-155.9893358,9
1701742755636,2023,12,4,16,19,15,797,19.7283417,-155.9893357,1
1701742756754,2023,12,4,16,19,16,823,19.728342,-155.9893359,1
1701742757530,2023,12,4,16,19,17,891,19.7283422,-155.9893361,23
1701742758402,2023,12,4,16,19,18,992,19.7283424,-155.9893361,10
1701742759266,2023,12,4,16,19,19,1218,19.7283426,-155.9893363,22
1701742760249,2023,12,4,16,19,20,1413,19.7283429,-155.9893365,1
1701742760964,2023,12,4,16,19,20,1215,19.7283432,-155.9893367,1
1701742761914,2023,12,4,16,19,21,1368,19.7283436,-155.9893368,1
1701742762704,2023,12,4,16,19,22,309,19.728344,-155.9893369,60
1701742763625,2023,12,4,16,19,23,350,19.7283447,-155.9893369,49
1701742764546,2023,12,4,16,19,24,444,19.7283451,-155.9893369,23
1701742765469,2023,12,4,16,19,25,522,19.7283455,-155.9893369,48
1701742766490,2023,12,4,16,19,26,567,19.7283461,-155.989337,40
1701742767314,2023,12,4,16,19,27,594,19.7283464,-155.9893371,22
1701742768252,2023,12,4,16,19,28,668,19.7283465,-155.9893374,21
1701742769155,2023,12,4,16,19,29,700,19.7283467,-155.9893375,14
1701742770008,2023,12,4,16,19,30,656,19.728347,-155.9893375,1
1701742770887,2023,12,4,16,19,30,783,19.728347,-155.9893371,11
1701742771716,2023,12,4,16,19,31,814,19.728347,-155.9893372,11
1701742772535,2023,12,4,16,19,32,1128,19.728347,-155.9893376,34
1701742773560,2023,12,4,16,19,33,1208,19.7283471,-155.9893374,11
1701742774480,2023,12,4,16,19,34,1372,19.7283473,-155.9893374,1
1701742775401,2023,12,4,16,19,35,1707,19.7283475,-155.9893369,1
1701742776323,2023,12,4,16,19,36,1743,19.7283477,-155.9893365,1
1701742777169,2023,12,4,16,19,37,2185,19.7283476,-155.9893362,1
1701742777948,2023,12,4,16,19,37,2390,19.7283477,-155.9893363,1
1701742778782,2023,12,4,16,19,38,1966,19.7283477,-155.9893364,1
1701742779600,2023,12,4,16,19,39,2192,19.7283477,-155.9893367,1
1701742780426,2023,12,4,16,19,40,2468,19.7283477,-155.989337,1
1701742781340,2023,12,4,16,19,41,2488,19.7283476,-155.9893378,1
1701742782058,2023,12,4,16,19,42,2644,19.7283478,-155.9893381,1
1701742782951,2023,12,4,16,19,42,2851,19.728348,-155.9893386,12
1701742783798,2023,12,4,16,19,43,2976,19.7283482,-155.9893387,12
1701742784453,2023,12,4,16,19,44,3124,19.7283482,-155.9893393,1
1701742785140,2023,12,4,16,19,45,2264,19.7283482,-155.9893399,1
1701742785955,2023,12,4,16,19,45,2132,19.7283482,-155.9893404,1
1701742786659,2023,12,4,16,19,46,2170,19.7283482,-155.989341,1
1701742787461,2023,12,4,16,19,47,2438,19.7283483,-155.9893416,20
1701742788051,2023,12,4,16,19,48,2522,19.7283483,-155.9893422,26
1701742788670,2023,12,4,16,19,48,2648,19.7283482,-155.989343,26
1701742789841,2023,12,4,16,19,49,2859,19.728348,-155.9893441,37
1701742790521,2023,12,4,16,19,50,3177,19.7283478,-155.9893452,36
1701742791179,2023,12,4,16,19,51,3519,19.7283478,-155.9893457,1
1701742791789,2023,12,4,16,19,51,3533,19.7283478,-155.9893462,1
1701742792547,2023,12,4,16,19,52,2853,19.7283479,-155.9893464,1
1701742793429,2023,12,4,16,19,53,3029,19.728348,-155.9893467,1
1701742794448,2023,12,4,16,19,54,3388,19.728348,-155.9893475,1
1701742795371,2023,12,4,16,19,55,3782,19.7283479,-155.9893483,33
